2026/06/18 13:50:09 memstats: logging enabled (interval 3s)
2026/06/18 13:50:12 memstats[live]: HeapAlloc=170MiB HeapInuse=190MiB Sys=276MiB NumGC=17
2026/06/18 13:50:15 memstats[live]: HeapAlloc=328MiB HeapInuse=350MiB Sys=422MiB NumGC=18
2026/06/18 13:50:18 memstats[live]: HeapAlloc=326MiB HeapInuse=349MiB Sys=436MiB NumGC=20
2026/06/18 13:50:21 memstats[live]: HeapAlloc=69MiB HeapInuse=85MiB Sys=536MiB NumGC=23
2026/06/18 13:50:24 memstats[live]: HeapAlloc=66MiB HeapInuse=80MiB Sys=536MiB NumGC=27
2026/06/18 13:50:27 memstats[live]: HeapAlloc=59MiB HeapInuse=73MiB Sys=536MiB NumGC=31
2026/06/18 13:50:30 memstats[live]: HeapAlloc=77MiB HeapInuse=89MiB Sys=536MiB NumGC=34
2026/06/18 13:50:33 memstats[live]: HeapAlloc=88MiB HeapInuse=100MiB Sys=536MiB NumGC=37
2026/06/18 13:50:36 memstats[live]: HeapAlloc=97MiB HeapInuse=109MiB Sys=536MiB NumGC=40
2026/06/18 13:50:39 memstats[live]: HeapAlloc=55MiB HeapInuse=65MiB Sys=536MiB NumGC=44
2026/06/18 13:50:39 memstats[pre-scavenge]: HeapAlloc=55MiB HeapInuse=65MiB Sys=536MiB NumGC=44
2026/06/18 13:50:39 memstats[post-scavenge]: HeapAlloc=29MiB HeapInuse=39MiB Sys=536MiB NumGC=45
2026/06/18 13:50:42 memstats[live]: HeapAlloc=53MiB HeapInuse=62MiB Sys=536MiB NumGC=49
2026/06/18 13:50:45 memstats[live]: HeapAlloc=51MiB HeapInuse=60MiB Sys=536MiB NumGC=54
2026/06/18 13:50:48 memstats[live]: HeapAlloc=62MiB HeapInuse=71MiB Sys=536MiB NumGC=58
2026/06/18 13:50:51 memstats[live]: HeapAlloc=63MiB HeapInuse=72MiB Sys=536MiB NumGC=61
