2026/06/22 11:27:23 memstats: logging enabled (interval 3s)
2026/06/22 11:27:26 memstats[live]: HeapAlloc=274MiB HeapInuse=284MiB Sys=305MiB NumGC=17
2026/06/22 11:27:29 memstats[live]: HeapAlloc=331MiB HeapInuse=346MiB Sys=391MiB NumGC=19
2026/06/22 11:27:32 memstats[live]: HeapAlloc=352MiB HeapInuse=367MiB Sys=391MiB NumGC=19
2026/06/22 11:27:35 memstats[live]: HeapAlloc=370MiB HeapInuse=382MiB Sys=408MiB NumGC=19
2026/06/22 11:27:38 memstats[live]: HeapAlloc=393MiB HeapInuse=406MiB Sys=432MiB NumGC=19
2026/06/22 11:27:41 memstats[live]: HeapAlloc=54MiB HeapInuse=69MiB Sys=441MiB NumGC=20
2026/06/22 11:27:44 memstats[live]: HeapAlloc=71MiB HeapInuse=82MiB Sys=441MiB NumGC=20
2026/06/22 11:27:47 memstats[live]: HeapAlloc=54MiB HeapInuse=69MiB Sys=441MiB NumGC=21
2026/06/22 11:27:50 memstats[live]: HeapAlloc=74MiB HeapInuse=85MiB Sys=441MiB NumGC=21
2026/06/22 11:27:53 memstats[live]: HeapAlloc=93MiB HeapInuse=100MiB Sys=441MiB NumGC=21
2026/06/22 11:27:53 memstats[pre-scavenge]: HeapAlloc=93MiB HeapInuse=100MiB Sys=441MiB NumGC=21
2026/06/22 11:27:53 memstats[post-scavenge]: HeapAlloc=56MiB HeapInuse=73MiB Sys=441MiB NumGC=22
2026/06/22 11:27:56 memstats[live]: HeapAlloc=100MiB HeapInuse=109MiB Sys=441MiB NumGC=22
2026/06/22 11:27:59 memstats[live]: HeapAlloc=107MiB HeapInuse=115MiB Sys=441MiB NumGC=23
2026/06/22 11:28:02 memstats[live]: HeapAlloc=117MiB HeapInuse=124MiB Sys=441MiB NumGC=23
2026/06/22 11:28:05 memstats[live]: HeapAlloc=128MiB HeapInuse=134MiB Sys=441MiB NumGC=23
2026/06/22 11:28:08 memstats[live]: HeapAlloc=38MiB HeapInuse=47MiB Sys=441MiB NumGC=24
2026/06/22 11:28:11 memstats[live]: HeapAlloc=47MiB HeapInuse=55MiB Sys=441MiB NumGC=24
2026/06/22 11:28:14 memstats[live]: HeapAlloc=57MiB HeapInuse=64MiB Sys=441MiB NumGC=24
2026/06/22 11:28:17 memstats[live]: HeapAlloc=65MiB HeapInuse=72MiB Sys=441MiB NumGC=24
2026/06/22 11:28:20 memstats[live]: HeapAlloc=40MiB HeapInuse=49MiB Sys=441MiB NumGC=25
2026/06/22 11:28:23 memstats[pre-scavenge]: HeapAlloc=50MiB HeapInuse=58MiB Sys=441MiB NumGC=25
2026/06/22 11:28:23 memstats[post-scavenge]: HeapAlloc=35MiB HeapInuse=45MiB Sys=441MiB NumGC=26
2026/06/22 11:28:23 memstats[live]: HeapAlloc=35MiB HeapInuse=45MiB Sys=441MiB NumGC=26
2026/06/22 11:28:26 memstats[live]: HeapAlloc=45MiB HeapInuse=53MiB Sys=441MiB NumGC=26
2026/06/22 11:28:29 memstats[live]: HeapAlloc=60MiB HeapInuse=66MiB Sys=441MiB NumGC=26
2026/06/22 11:28:32 memstats[live]: HeapAlloc=68MiB HeapInuse=74MiB Sys=441MiB NumGC=26
2026/06/22 11:28:35 memstats[live]: HeapAlloc=47MiB HeapInuse=56MiB Sys=441MiB NumGC=27
2026/06/22 11:28:38 memstats[live]: HeapAlloc=56MiB HeapInuse=63MiB Sys=441MiB NumGC=27
2026/06/22 11:28:41 memstats[live]: HeapAlloc=64MiB HeapInuse=71MiB Sys=441MiB NumGC=27
2026/06/22 11:28:44 memstats[live]: HeapAlloc=72MiB HeapInuse=79MiB Sys=441MiB NumGC=27
2026/06/22 11:28:47 memstats[live]: HeapAlloc=44MiB HeapInuse=53MiB Sys=441MiB NumGC=28
2026/06/22 11:28:50 memstats[live]: HeapAlloc=52MiB HeapInuse=60MiB Sys=441MiB NumGC=28
2026/06/22 11:28:53 memstats[pre-scavenge]: HeapAlloc=61MiB HeapInuse=68MiB Sys=441MiB NumGC=28
2026/06/22 11:28:53 memstats[post-scavenge]: HeapAlloc=39MiB HeapInuse=48MiB Sys=441MiB NumGC=29
