2026/06/22 11:44:41 memstats: logging enabled (interval 3s)
2026/06/22 11:44:44 memstats[live]: HeapAlloc=98MiB HeapInuse=105MiB Sys=129MiB NumGC=12
2026/06/22 11:44:47 memstats[live]: HeapAlloc=134MiB HeapInuse=154MiB Sys=214MiB NumGC=16
2026/06/22 11:44:50 memstats[live]: HeapAlloc=207MiB HeapInuse=217MiB Sys=239MiB NumGC=16
2026/06/22 11:44:53 memstats[live]: HeapAlloc=163MiB HeapInuse=185MiB Sys=268MiB NumGC=17
2026/06/22 11:44:56 memstats[live]: HeapAlloc=312MiB HeapInuse=324MiB Sys=350MiB NumGC=18
2026/06/22 11:44:59 memstats[live]: HeapAlloc=338MiB HeapInuse=356MiB Sys=408MiB NumGC=19
2026/06/22 11:45:02 memstats[live]: HeapAlloc=355MiB HeapInuse=371MiB Sys=408MiB NumGC=19
2026/06/22 11:45:05 memstats[live]: HeapAlloc=377MiB HeapInuse=391MiB Sys=416MiB NumGC=19
2026/06/22 11:45:08 memstats[live]: HeapAlloc=392MiB HeapInuse=405MiB Sys=432MiB NumGC=19
2026/06/22 11:45:11 memstats[pre-scavenge]: HeapAlloc=408MiB HeapInuse=422MiB Sys=449MiB NumGC=19
2026/06/22 11:45:11 memstats[post-scavenge]: HeapAlloc=52MiB HeapInuse=87MiB Sys=449MiB NumGC=20
2026/06/22 11:45:11 memstats[live]: HeapAlloc=52MiB HeapInuse=87MiB Sys=449MiB NumGC=20
2026/06/22 11:45:14 memstats[live]: HeapAlloc=70MiB HeapInuse=96MiB Sys=449MiB NumGC=20
2026/06/22 11:45:17 memstats[live]: HeapAlloc=77MiB HeapInuse=102MiB Sys=449MiB NumGC=21
2026/06/22 11:45:20 memstats[live]: HeapAlloc=122MiB HeapInuse=143MiB Sys=449MiB NumGC=21
2026/06/22 11:45:23 memstats[live]: HeapAlloc=127MiB HeapInuse=146MiB Sys=449MiB NumGC=21
2026/06/22 11:45:26 memstats[live]: HeapAlloc=44MiB HeapInuse=55MiB Sys=449MiB NumGC=22
2026/06/22 11:45:29 memstats[live]: HeapAlloc=49MiB HeapInuse=59MiB Sys=449MiB NumGC=22
2026/06/22 11:45:32 memstats[live]: HeapAlloc=53MiB HeapInuse=62MiB Sys=449MiB NumGC=22
2026/06/22 11:45:35 memstats[live]: HeapAlloc=58MiB HeapInuse=66MiB Sys=449MiB NumGC=22
2026/06/22 11:45:38 memstats[live]: HeapAlloc=62MiB HeapInuse=70MiB Sys=449MiB NumGC=22
2026/06/22 11:45:41 memstats[live]: HeapAlloc=66MiB HeapInuse=75MiB Sys=449MiB NumGC=22
2026/06/22 11:45:41 memstats[pre-scavenge]: HeapAlloc=66MiB HeapInuse=75MiB Sys=449MiB NumGC=22
2026/06/22 11:45:41 memstats[post-scavenge]: HeapAlloc=38MiB HeapInuse=51MiB Sys=449MiB NumGC=23
2026/06/22 11:45:44 memstats[live]: HeapAlloc=42MiB HeapInuse=54MiB Sys=449MiB NumGC=23
2026/06/22 11:45:47 memstats[live]: HeapAlloc=74MiB HeapInuse=80MiB Sys=449MiB NumGC=23
2026/06/22 11:45:50 memstats[live]: HeapAlloc=58MiB HeapInuse=68MiB Sys=449MiB NumGC=24
2026/06/22 11:45:53 memstats[live]: HeapAlloc=66MiB HeapInuse=74MiB Sys=449MiB NumGC=24
2026/06/22 11:45:56 memstats[live]: HeapAlloc=72MiB HeapInuse=79MiB Sys=449MiB NumGC=24
2026/06/22 11:45:59 memstats[live]: HeapAlloc=78MiB HeapInuse=85MiB Sys=449MiB NumGC=24
2026/06/22 11:46:02 memstats[live]: HeapAlloc=84MiB HeapInuse=91MiB Sys=449MiB NumGC=24
2026/06/22 11:46:05 memstats[live]: HeapAlloc=90MiB HeapInuse=97MiB Sys=449MiB NumGC=24
2026/06/22 11:46:08 memstats[live]: HeapAlloc=96MiB HeapInuse=102MiB Sys=449MiB NumGC=24
2026/06/22 11:46:11 memstats[live]: HeapAlloc=50MiB HeapInuse=62MiB Sys=449MiB NumGC=25
2026/06/22 11:46:11 memstats[pre-scavenge]: HeapAlloc=50MiB HeapInuse=62MiB Sys=449MiB NumGC=25
2026/06/22 11:46:11 memstats[post-scavenge]: HeapAlloc=48MiB HeapInuse=60MiB Sys=449MiB NumGC=26
2026/06/22 11:46:14 memstats[live]: HeapAlloc=55MiB HeapInuse=65MiB Sys=449MiB NumGC=26
