2026/06/22 12:00:48 memstats: logging enabled (interval 3s)
2026/06/22 12:00:51 memstats[live]: HeapAlloc=120MiB HeapInuse=138MiB Sys=190MiB NumGC=16
2026/06/22 12:00:54 memstats[live]: HeapAlloc=168MiB HeapInuse=195MiB Sys=284MiB NumGC=18
2026/06/22 12:00:57 memstats[live]: HeapAlloc=264MiB HeapInuse=276MiB Sys=314MiB NumGC=23
2026/06/22 12:01:00 memstats[live]: HeapAlloc=46MiB HeapInuse=57MiB Sys=314MiB NumGC=24
2026/06/22 12:01:03 memstats[live]: HeapAlloc=60MiB HeapInuse=66MiB Sys=314MiB NumGC=24
2026/06/22 12:01:06 memstats[live]: HeapAlloc=51MiB HeapInuse=63MiB Sys=314MiB NumGC=25
2026/06/22 12:01:09 memstats[live]: HeapAlloc=66MiB HeapInuse=73MiB Sys=314MiB NumGC=25
2026/06/22 12:01:12 memstats[live]: HeapAlloc=78MiB HeapInuse=84MiB Sys=314MiB NumGC=25
2026/06/22 12:01:15 memstats[live]: HeapAlloc=58MiB HeapInuse=71MiB Sys=314MiB NumGC=26
2026/06/22 12:01:18 memstats[live]: HeapAlloc=76MiB HeapInuse=83MiB Sys=314MiB NumGC=26
2026/06/22 12:01:18 memstats[pre-scavenge]: HeapAlloc=76MiB HeapInuse=83MiB Sys=314MiB NumGC=26
2026/06/22 12:01:18 memstats[post-scavenge]: HeapAlloc=60MiB HeapInuse=73MiB Sys=314MiB NumGC=27
2026/06/22 12:01:21 memstats[live]: HeapAlloc=82MiB HeapInuse=94MiB Sys=314MiB NumGC=28
2026/06/22 12:01:24 memstats[live]: HeapAlloc=87MiB HeapInuse=97MiB Sys=314MiB NumGC=28
2026/06/22 12:01:27 memstats[live]: HeapAlloc=97MiB HeapInuse=105MiB Sys=314MiB NumGC=28
2026/06/22 12:01:30 memstats[live]: HeapAlloc=101MiB HeapInuse=109MiB Sys=314MiB NumGC=28
2026/06/22 12:01:33 memstats[live]: HeapAlloc=104MiB HeapInuse=112MiB Sys=314MiB NumGC=28
2026/06/22 12:01:36 memstats[live]: HeapAlloc=108MiB HeapInuse=116MiB Sys=314MiB NumGC=28
2026/06/22 12:01:39 memstats[live]: HeapAlloc=112MiB HeapInuse=120MiB Sys=314MiB NumGC=28
2026/06/22 12:01:42 memstats[live]: HeapAlloc=116MiB HeapInuse=123MiB Sys=314MiB NumGC=28
2026/06/22 12:01:45 memstats[live]: HeapAlloc=120MiB HeapInuse=127MiB Sys=314MiB NumGC=28
2026/06/22 12:01:48 memstats[live]: HeapAlloc=124MiB HeapInuse=131MiB Sys=314MiB NumGC=28
2026/06/22 12:01:48 memstats[pre-scavenge]: HeapAlloc=124MiB HeapInuse=131MiB Sys=314MiB NumGC=28
2026/06/22 12:01:48 memstats[post-scavenge]: HeapAlloc=38MiB HeapInuse=48MiB Sys=314MiB NumGC=29
2026/06/22 12:01:51 memstats[live]: HeapAlloc=43MiB HeapInuse=51MiB Sys=314MiB NumGC=29
2026/06/22 12:01:54 memstats[live]: HeapAlloc=47MiB HeapInuse=55MiB Sys=314MiB NumGC=29
2026/06/22 12:01:57 memstats[live]: HeapAlloc=56MiB HeapInuse=64MiB Sys=314MiB NumGC=30
2026/06/22 12:02:00 memstats[live]: HeapAlloc=62MiB HeapInuse=69MiB Sys=314MiB NumGC=30
2026/06/22 12:02:03 memstats[live]: HeapAlloc=69MiB HeapInuse=75MiB Sys=314MiB NumGC=30
2026/06/22 12:02:06 memstats[live]: HeapAlloc=74MiB HeapInuse=80MiB Sys=314MiB NumGC=30
2026/06/22 12:02:09 memstats[live]: HeapAlloc=80MiB HeapInuse=85MiB Sys=314MiB NumGC=30
2026/06/22 12:02:12 memstats[live]: HeapAlloc=86MiB HeapInuse=91MiB Sys=314MiB NumGC=30
2026/06/22 12:02:15 memstats[live]: HeapAlloc=91MiB HeapInuse=96MiB Sys=314MiB NumGC=30
2026/06/22 12:02:18 memstats[live]: HeapAlloc=96MiB HeapInuse=101MiB Sys=314MiB NumGC=30
2026/06/22 12:02:18 memstats[pre-scavenge]: HeapAlloc=96MiB HeapInuse=101MiB Sys=314MiB NumGC=30
2026/06/22 12:02:18 memstats[post-scavenge]: HeapAlloc=48MiB HeapInuse=59MiB Sys=314MiB NumGC=31
2026/06/22 12:02:21 memstats[live]: HeapAlloc=53MiB HeapInuse=62MiB Sys=314MiB NumGC=31
2026/06/22 12:02:24 memstats[live]: HeapAlloc=59MiB HeapInuse=66MiB Sys=314MiB NumGC=31
2026/06/22 12:02:27 memstats[live]: HeapAlloc=65MiB HeapInuse=71MiB Sys=314MiB NumGC=31
2026/06/22 12:02:30 memstats[live]: HeapAlloc=70MiB HeapInuse=76MiB Sys=314MiB NumGC=31
